"UID","ID","PID","BASISFORPROPERTYSEIZURE","INSERTDATETIME"
"115007c",115007,1,"Evidence","2024-11-13 10:21:57.617"
"115094c",115094,1,"Evidence","2024-11-13 10:21:57.617"
"115137c",115137,1,"Evidence","2024-11-13 10:21:57.617"
"115147c",115147,1,"Contraband","2024-11-13 10:21:57.617"
"115147c",115147,1,"Evidence","2024-11-13 10:21:57.617"
"115147c",115147,2,"Contraband","2024-11-13 10:21:57.617"
"115147c",115147,2,"Evidence","2024-11-13 10:21:57.617"
"115147c",115147,3,"Contraband","2024-11-13 10:21:57.617"
"115147c",115147,3,"Evidence","2024-11-13 10:21:57.617"
"115202c",115202,1,"Evidence","2024-11-13 10:21:57.617"
"115202c",115202,2,"Evidence","2024-11-13 10:21:57.617"
"115212c",115212,1,"Evidence","2024-11-13 10:21:57.617"
"115236c",115236,1,"Contraband","2024-11-13 10:21:57.617"
"115236c",115236,2,"Contraband","2024-11-13 10:21:57.617"
"115243c",115243,1,"Contraband","2024-11-13 10:21:57.617"
"115243c",115243,1,"Evidence","2024-11-13 10:21:57.617"
"85760c",85760,1,"Evidence","2024-11-13 10:21:57.617"
"85760c",85760,1,"Contraband","2024-11-13 10:21:57.617"
"115354c",115354,1,"Evidence","2024-11-13 10:21:57.617"
"115357c",115357,1,"Evidence","2024-11-13 10:21:57.617"
"115357c",115357,1,"Contraband","2024-11-13 10:21:57.617"
"115572c",115572,1,"Evidence","2024-11-13 10:21:57.617"
"115572c",115572,2,"Evidence","2024-11-13 10:21:57.617"
"115645c",115645,1,"Contraband","2024-11-13 10:21:57.617"
"115645c",115645,1,"Evidence","2024-11-13 10:21:57.617"
"115694c",115694,2,"Evidence","2024-11-13 10:21:57.617"
"115726c",115726,2,"Contraband","2024-11-13 10:21:57.617"
"115784c",115784,1,"Evidence","2024-11-13 10:21:57.617"
"115784c",115784,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"115965c",115965,4,"Impound of vehicle","2024-11-13 10:21:57.617"
"115993c",115993,1,"Evidence","2024-11-13 10:21:57.617"
"115998c",115998,1,"Evidence","2024-11-13 10:21:57.617"
"116006c",116006,1,"Contraband","2024-11-13 10:21:57.617"
"116094c",116094,1,"Evidence","2024-11-13 10:21:57.617"
"116374c",116374,1,"Contraband","2024-11-13 10:21:57.617"
"116374c",116374,1,"Evidence","2024-11-13 10:21:57.617"
"116387c",116387,1,"Contraband","2024-11-13 10:21:57.617"
"116441c",116441,1,"Contraband","2024-11-13 10:21:57.617"
"116566c",116566,1,"Evidence","2024-11-13 10:21:57.617"
"116686c",116686,1,"Contraband","2024-11-13 10:21:57.617"
"116698c",116698,1,"Evidence","2024-11-13 10:21:57.617"
"116698c",116698,1,"Contraband","2024-11-13 10:21:57.617"
"88435c",88435,1,"Contraband","2024-11-13 10:21:57.617"
"88435c",88435,1,"Evidence","2024-11-13 10:21:57.617"
"91392c",91392,1,"Evidence","2024-11-13 10:21:57.617"
"85689c",85689,1,"Contraband","2024-11-13 10:21:57.617"
"85746c",85746,1,"Evidence","2024-11-13 10:21:57.617"
"117036c",117036,1,"Contraband","2024-11-13 10:21:57.617"
"117036c",117036,1,"Evidence","2024-11-13 10:21:57.617"
"117070c",117070,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"117086c",117086,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"117191c",117191,1,"Contraband","2024-11-13 10:21:57.617"
"117191c",117191,1,"Evidence","2024-11-13 10:21:57.617"
"117204c",117204,1,"Contraband","2024-11-13 10:21:57.617"
"117204c",117204,1,"Evidence","2024-11-13 10:21:57.617"
"117213c",117213,1,"Contraband","2024-11-13 10:21:57.617"
"117213c",117213,1,"Evidence","2024-11-13 10:21:57.617"
"117294c",117294,1,"Evidence","2024-11-13 10:21:57.617"
"85702c",85702,1,"Contraband","2024-11-13 10:21:57.617"
"85702c",85702,1,"Evidence","2024-11-13 10:21:57.617"
"85702c",85702,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"117503c",117503,2,"Contraband","2024-11-13 10:21:57.617"
"85641c",85641,1,"Evidence","2024-11-13 10:21:57.617"
"85718c",85718,1,"Contraband","2024-11-13 10:21:57.617"
"85719c",85719,2,"Contraband","2024-11-13 10:21:57.617"
"117721c",117721,1,"Contraband","2024-11-13 10:21:57.617"
"117721c",117721,2,"Contraband","2024-11-13 10:21:57.617"
"117732c",117732,1,"Contraband","2024-11-13 10:21:57.617"
"117732c",117732,1,"Evidence","2024-11-13 10:21:57.617"
"117732c",117732,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"117746c",117746,1,"Evidence","2024-11-13 10:21:57.617"
"117747c",117747,1,"Evidence","2024-11-13 10:21:57.617"
"117817c",117817,1,"Evidence","2024-11-13 10:21:57.617"
"117817c",117817,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"117864c",117864,1,"Contraband","2024-11-13 10:21:57.617"
"117871c",117871,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"117871c",117871,1,"Contraband","2024-11-13 10:21:57.617"
"117897c",117897,1,"Evidence","2024-11-13 10:21:57.617"
"117897c",117897,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"117899c",117899,1,"Evidence","2024-11-13 10:21:57.617"
"85558c",85558,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"118075c",118075,1,"Contraband","2024-11-13 10:21:57.617"
"118075c",118075,1,"Evidence","2024-11-13 10:21:57.617"
"118078c",118078,1,"Contraband","2024-11-13 10:21:57.617"
"118078c",118078,1,"Evidence","2024-11-13 10:21:57.617"
"118176c",118176,1,"Contraband","2024-11-13 10:21:57.617"
"118178c",118178,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"118211c",118211,1,"Contraband","2024-11-13 10:21:57.617"
"118237c",118237,1,"Contraband","2024-11-13 10:21:57.617"
"118237c",118237,1,"Evidence","2024-11-13 10:21:57.617"
"118237c",118237,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"118294c",118294,1,"Evidence","2024-11-13 10:21:57.617"
"118294c",118294,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"118415c",118415,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"118452c",118452,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"118452c",118452,1,"Evidence","2024-11-13 10:21:57.617"
"118592c",118592,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"91487c",91487,1,"Impound of vehicle","2024-11-13 10:21:57.617"
